                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55407,                0.38132,                 0.8635,                0.99123,                0.95765,                0.97404,                0.83573,                 0.5439,                0.36861,                0.86542,              0.0010894,              0.0010894,              0.0010894
                     37,                0.51954,                 0.3879,                0.84109,                0.98523,                0.95082,                0.97212,                0.83736,                0.55681,                0.38858,                 0.8692,              0.0010729,              0.0010729,              0.0010729
                     38,                0.52984,                0.39478,                0.86471,                0.98703,                0.95902,                0.97353,                0.85047,                0.51296,                 0.3655,                 0.8635,              0.0010564,              0.0010564,              0.0010564
                     39,                0.53029,                0.39056,                0.84039,                0.98239,                0.95628,                0.97605,                0.85164,                0.51979,                 0.3632,                0.85137,              0.0010399,              0.0010399,              0.0010399
                     40,                0.51959,                0.38745,                0.84974,                0.97948,                 0.9513,                0.96814,                0.83746,                0.54099,                0.36332,                0.86853,              0.0010234,              0.0010234,              0.0010234
                     41,                0.54981,                0.39393,                0.86412,                 0.9977,                0.95477,                 0.9765,                0.83937,                0.53805,                0.37248,                0.86411,              0.0010069,              0.0010069,              0.0010069
                     42,                0.53056,                0.37876,                0.87615,                0.99032,                0.95885,                0.97669,                0.84058,                0.54087,                0.35364,                0.85916,             0.00099036,             0.00099036,             0.00099036
                     43,                0.55385,                0.39886,                0.87964,                0.96533,                0.96563,                0.96929,                0.84141,                0.51253,                0.33055,                0.86203,             0.00097386,             0.00097386,             0.00097386
                     44,                0.50377,                0.36971,                0.87647,                0.97691,                0.96721,                0.96875,                0.84531,                0.51974,                0.33082,                0.88557,             0.00095736,             0.00095736,             0.00095736
                     45,                0.53003,                0.37724,                0.85428,                0.98455,                0.95902,                0.96744,                0.84754,                0.50495,                0.40243,                0.86132,             0.00094085,             0.00094085,             0.00094085
                     46,                0.50174,                0.35812,                0.82875,                0.98802,                0.95902,                 0.9741,                 0.8451,                0.51527,                0.37899,                0.86451,             0.00092435,             0.00092435,             0.00092435
                     47,                0.50273,                0.35313,                0.85223,                0.98994,                0.96507,                0.97536,                0.85249,                0.50001,                0.35868,                 0.8617,             0.00090785,             0.00090785,             0.00090785
