                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61367,                0.33842,                0.95513,                0.99523,                0.97931,                0.99433,                0.86966,                0.64935,                0.30115,                0.94216,               0.003325,               0.003325,               0.003325
                      2,                0.61059,                0.32843,                0.95129,                 0.9848,                0.97838,                0.99421,                0.87362,                0.65758,                0.30609,                0.94676,              0.0065925,              0.0065925,              0.0065925
                      3,                0.62816,                0.35354,                0.96345,                0.98289,                0.90865,                0.97053,                 0.8075,                0.76567,                0.43233,                0.99721,              0.0097939,              0.0097939,              0.0097939
                      4,                 0.6518,                  0.379,                0.98078,                0.98427,                0.97744,                0.99344,                0.85778,                 0.6612,                0.34226,                0.94969,               0.009703,               0.009703,               0.009703
                      5,                0.64245,                0.37405,                0.96777,                0.97595,                 0.9712,                0.99305,                0.86137,                0.67199,                0.33716,                 0.9478,               0.009703,               0.009703,               0.009703
                      6,                0.63782,                0.36604,                 0.9661,                0.98228,                0.97986,                0.99343,                0.86088,                0.67079,                0.33595,                0.95544,               0.009604,               0.009604,               0.009604
                      7,                 0.6386,                0.36665,                0.96545,                 0.9803,                0.98026,                0.99297,                0.86126,                0.66828,                0.32324,                0.95229,               0.009505,               0.009505,               0.009505
